"sale_id","product_id","brand_id","section_id","category_id","position_id","promotion","seasonal","scraped_at","sales_volume"
1,"185102",5,10,22,15,False,False,"2024-02-19 08:50:05.654618",2823
2,"188771",5,10,22,15,False,False,"2024-02-19 08:50:06.59093",654
3,"180176",5,10,22,14,True,True,"2024-02-19 08:50:07.301419",2220
4,"112917",5,10,22,15,True,True,"2024-02-19 08:50:07.882922",1568
5,"192936",5,10,22,14,False,True,"2024-02-19 08:50:08.453847",2942
6,"117590",5,10,22,14,False,False,"2024-02-19 08:50:09.140497",2968
7,"189118",5,10,22,13,True,True,"2024-02-19 08:50:09.688951",952
8,"182157",5,10,22,15,False,False,"2024-02-19 08:50:10.200777",2421
9,"141861",5,10,22,15,True,True,"2024-02-19 08:50:10.880741",1916
10,"137121",5,10,22,15,False,True,"2024-02-19 08:50:11.380061",656
11,"113143",5,10,22,15,True,True,"2024-02-19 08:50:12.011296",2663
12,"140028",5,10,22,15,True,True,"2024-02-19 08:50:12.510507",1260
13,"134693",5,10,22,15,True,False,"2024-02-19 08:50:13.210501",2124
14,"151396",5,10,22,13,True,True,"2024-02-19 08:50:13.771115",729
15,"132889",5,10,22,15,True,True,"2024-02-19 08:50:14.252907",2265
16,"152174",5,10,22,14,False,False,"2024-02-19 08:50:14.853868",2226
17,"129906",5,10,22,15,False,False,"2024-02-19 08:50:15.386895",2089
18,"195879",5,10,22,13,True,True,"2024-02-19 08:50:15.895051",2339
19,"155050",5,10,22,15,False,True,"2024-02-19 08:50:16.580479",2321
20,"194410",5,10,22,14,False,False,"2024-02-19 08:50:17.153559",669
21,"141904",5,10,22,14,True,True,"2024-02-19 08:50:17.639427",1712
22,"124981",5,10,22,13,False,True,"2024-02-19 08:50:18.264732",1832
23,"161909",5,10,22,15,True,False,"2024-02-19 08:50:18.813979",1290
24,"129152",5,10,22,14,False,False,"2024-02-19 08:50:19.405469",2356
25,"183243",5,10,22,13,True,False,"2024-02-19 08:50:19.899287",1524
26,"198248",5,10,22,13,True,False,"2024-02-19 08:50:20.387337",1644
27,"191230",5,10,22,14,False,False,"2024-02-19 08:50:20.940517",966
28,"187234",5,10,22,13,True,True,"2024-02-19 08:50:21.681257",2575
29,"148888",5,10,22,13,False,False,"2024-02-19 08:50:22.196513",2774
30,"110805",5,10,22,13,True,False,"2024-02-19 08:50:22.752699",2477
31,"179801",5,10,22,13,False,True,"2024-02-19 08:50:23.449176",2608
32,"134927",5,10,22,15,True,True,"2024-02-19 08:50:23.929417",2252
33,"123150",5,10,22,14,True,False,"2024-02-19 08:50:24.492261",2074
34,"159145",5,10,22,14,True,False,"2024-02-19 08:50:25.084642",2579
35,"172364",5,10,22,15,True,False,"2024-02-19 08:50:26.108791",2931
36,"178281",5,10,22,14,False,True,"2024-02-19 08:50:27.368815",1145
37,"194339",5,10,22,14,False,False,"2024-02-19 08:50:28.013766",1792
38,"174412",5,10,22,15,False,True,"2024-02-19 08:50:28.575851",1796
39,"114877",5,10,22,15,False,False,"2024-02-19 08:50:29.497634",1860
40,"140727",5,10,22,14,True,True,"2024-02-19 08:50:30.899896",1002
41,"133109",5,10,22,13,False,True,"2024-02-19 08:50:31.435371",2063
42,"127296",5,10,22,15,False,False,"2024-02-19 08:50:32.016086",1165
43,"133757",5,10,22,15,True,False,"2024-02-19 08:50:32.531017",2071
44,"111760",5,10,22,14,False,False,"2024-02-19 08:50:33.138517",1474
45,"198375",5,10,22,14,False,False,"2024-02-19 08:50:33.724614",2202
46,"168837",5,10,22,15,False,False,"2024-02-19 08:50:34.380743",665
47,"138505",5,10,22,13,False,False,"2024-02-19 08:50:35.011352",2478
48,"116228",5,10,22,14,True,False,"2024-02-19 08:50:35.534355",647
49,"167592",5,10,22,13,True,False,"2024-02-19 08:50:36.278549",707
50,"133100",5,10,22,14,True,False,"2024-02-19 08:50:37.262777",2729
51,"119955",5,10,22,13,False,False,"2024-02-19 08:50:37.977065",1590
52,"189349",5,10,22,14,True,False,"2024-02-19 08:50:38.675293",1245
53,"127478",5,10,22,13,False,True,"2024-02-19 08:50:39.146924",2498
54,"180661",5,10,22,13,False,True,"2024-02-19 08:50:39.688602",1041
55,"186681",5,10,22,14,False,True,"2024-02-19 08:50:40.213708",1717
56,"133183",5,10,22,13,True,True,"2024-02-19 08:50:40.898654",2859
57,"173508",5,10,22,15,True,False,"2024-02-19 08:50:41.427891",1658
58,"187930",5,10,22,14,False,True,"2024-02-19 08:50:41.944116",706
59,"124088",5,10,22,14,True,True,"2024-02-19 08:50:42.629521",2065
60,"190238",5,10,22,13,False,True,"2024-02-19 08:50:43.067567",1917
61,"163234",5,10,22,13,False,False,"2024-02-19 08:50:44.126726",1633
62,"135610",5,10,22,15,True,True,"2024-02-19 08:50:45.034237",1513
63,"117065",5,10,22,15,True,True,"2024-02-19 08:50:45.809524",758
64,"149315",5,10,22,14,True,False,"2024-02-19 08:50:46.259361",718
65,"149510",5,10,22,15,False,True,"2024-02-19 08:50:47.254145",1412
66,"137990",5,10,22,15,False,False,"2024-02-19 08:50:49.940814",2929
67,"154016",5,10,22,14,True,True,"2024-02-19 08:50:48.69226",2366
68,"117751",5,10,22,15,False,False,"2024-02-19 08:50:51.200272",2749
69,"182362",5,10,22,13,False,False,"2024-02-19 08:50:51.711859",2019
70,"117725",5,10,22,15,False,True,"2024-02-19 08:50:52.206404",1506
71,"145289",5,10,22,14,False,False,"2024-02-19 08:50:52.732112",1012
72,"175059",5,10,22,15,True,False,"2024-02-19 08:50:54.92748",2170
73,"199368",5,10,22,13,False,True,"2024-02-19 08:50:55.455689",1061
74,"162883",5,10,22,13,True,False,"2024-02-19 08:50:55.898064",786
75,"135490",5,10,22,13,False,False,"2024-02-19 08:50:56.349784",1094
76,"125408",5,10,22,14,True,True,"2024-02-19 08:50:56.784017",2220
77,"134763",5,10,22,13,False,True,"2024-02-19 08:50:57.5863",2048
78,"143231",5,10,22,15,False,False,"2024-02-19 08:50:58.065096",2578
79,"125409",5,10,22,14,True,False,"2024-02-19 08:50:58.577931",2040
80,"183074",5,10,22,15,False,False,"2024-02-19 08:50:59.005564",2791
81,"147947",5,10,22,15,True,True,"2024-02-19 08:50:59.512967",1249
82,"174171",5,10,22,13,True,True,"2024-02-19 08:50:59.919169",2273
83,"183064",5,10,22,13,True,False,"2024-02-19 08:51:00.445955",1773
84,"177131",5,10,22,15,True,True,"2024-02-19 08:51:00.909778",1733
85,"128179",5,10,22,14,True,False,"2024-02-19 08:51:03.376537",2060
86,"152723",5,10,22,15,False,True,"2024-02-19 08:51:03.976837",2849
87,"123824",5,10,22,15,True,False,"2024-02-19 08:51:04.381493",2277
88,"166345",5,10,22,15,False,True,"2024-02-19 08:51:04.832708",1135
89,"199279",5,10,22,15,False,False,"2024-02-19 08:51:05.301146",1770
90,"167981",5,10,22,14,False,False,"2024-02-19 08:51:05.729975",730
91,"146839",5,10,22,15,False,False,"2024-02-19 08:51:06.241653",1525
92,"187180",5,10,22,13,False,True,"2024-02-19 08:51:06.707251",647
